Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
22:20:56 Mar 06 2025,92,78,0,0,0
22:21:00 Mar 06 2025,93,80,2,0,0
22:21:04 Mar 06 2025,94,80,1,0,0
22:21:08 Mar 06 2025,95,78,1,0,0
22:21:12 Mar 06 2025,95,76,1,0,0
22:21:16 Mar 06 2025,95,73,1,0,0
22:21:20 Mar 06 2025,94,71,1,0,0
22:21:24 Mar 06 2025,94,70,1,0,0
22:21:28 Mar 06 2025,93,73,5,0,0
22:21:32 Mar 06 2025,93,73,1,0,0
22:21:36 Mar 06 2025,93,73,1,0,0
22:21:40 Mar 06 2025,94,73,2,0,0
22:21:44 Mar 06 2025,92,73,1,0,0
22:21:48 Mar 06 2025,92,74,1,0,0
22:21:52 Mar 06 2025,91,73,1,0,0
22:21:56 Mar 06 2025,92,73,1,0,0
22:22:00 Mar 06 2025,93,74,2,0,0
22:22:04 Mar 06 2025,93,72,1,0,0
22:22:08 Mar 06 2025,93,73,1,0,0
22:22:12 Mar 06 2025,93,74,1,0,0
22:22:16 Mar 06 2025,93,75,1,0,0
22:22:20 Mar 06 2025,92,76,1,0,0
22:22:24 Mar 06 2025,92,75,1,0,0
22:22:28 Mar 06 2025,92,74,1,0,0
22:22:32 Mar 06 2025,92,75,1,0,0
22:22:36 Mar 06 2025,92,75,1,0,0
22:22:40 Mar 06 2025,93,74,1,0,0
22:22:44 Mar 06 2025,93,73,1,0,0
22:22:48 Mar 06 2025,94,73,1,0,0
22:22:52 Mar 06 2025,95,71,1,0,0
22:22:56 Mar 06 2025,96,71,1,0,0
22:23:00 Mar 06 2025,97,71,1,0,0
22:23:04 Mar 06 2025,96,72,1,0,0
22:23:08 Mar 06 2025,94,73,1,0,0
22:23:12 Mar 06 2025,93,73,1,0,0
22:23:16 Mar 06 2025,92,73,1,0,0
22:23:20 Mar 06 2025,92,72,2,0,0
22:23:24 Mar 06 2025,92,72,1,0,0
22:23:28 Mar 06 2025,91,73,1,0,0
22:23:32 Mar 06 2025,92,75,1,0,0
22:23:36 Mar 06 2025,93,76,1,0,0
22:23:40 Mar 06 2025,92,75,1,0,0
22:23:44 Mar 06 2025,92,75,1,0,0
22:23:48 Mar 06 2025,91,74,1,0,0
22:23:52 Mar 06 2025,91,74,1,0,0
22:23:56 Mar 06 2025,91,74,1,0,0
22:24:00 Mar 06 2025,92,74,1,0,0
22:24:04 Mar 06 2025,93,75,1,0,0
22:24:08 Mar 06 2025,92,74,1,0,0
22:24:12 Mar 06 2025,92,73,1,0,0
22:24:16 Mar 06 2025,92,76,1,0,0
22:24:20 Mar 06 2025,92,79,1,0,0
22:24:24 Mar 06 2025,93,82,1,0,0
22:24:28 Mar 06 2025,94,81,1,0,0
22:24:32 Mar 06 2025,95,73,1,0,0
22:24:36 Mar 06 2025,95,71,1,0,0
22:24:40 Mar 06 2025,95,71,1,0,0
22:24:44 Mar 06 2025,94,72,1,0,0
22:24:48 Mar 06 2025,94,72,1,0,0
22:24:52 Mar 06 2025,94,72,1,0,0
22:24:56 Mar 06 2025,93,72,1,0,0
22:25:00 Mar 06 2025,93,72,1,0,0
22:25:04 Mar 06 2025,93,71,1,0,0
22:25:08 Mar 06 2025,92,71,1,0,0
22:25:12 Mar 06 2025,92,71,1,0,0
22:25:16 Mar 06 2025,92,71,1,0,0
22:25:20 Mar 06 2025,92,71,1,0,0
22:25:24 Mar 06 2025,92,70,1,0,0
22:25:28 Mar 06 2025,92,71,1,0,0
22:25:32 Mar 06 2025,92,73,1,0,0
22:25:36 Mar 06 2025,92,76,1,0,0
22:25:40 Mar 06 2025,93,76,1,0,0
22:25:44 Mar 06 2025,94,77,1,0,0
22:25:48 Mar 06 2025,94,80,1,0,0
22:25:52 Mar 06 2025,94,79,1,0,0
22:25:56 Mar 06 2025,95,80,2,0,0
22:26:00 Mar 06 2025,95,80,2,0,0
22:26:04 Mar 06 2025,97,77,2,0,0
22:26:08 Mar 06 2025,97,76,30,0,0
22:26:12 Mar 06 2025,97,76,2,0,0
22:26:16 Mar 06 2025,97,74,1,0,0
22:26:20 Mar 06 2025,96,71,1,0,0
22:26:24 Mar 06 2025,96,70,1,0,0
22:26:28 Mar 06 2025,96,71,1,0,0
22:26:32 Mar 06 2025,95,72,1,0,0
22:26:36 Mar 06 2025,95,71,1,0,0
22:26:40 Mar 06 2025,95,70,5,0,0
22:26:44 Mar 06 2025,95,70,10,0,0
22:26:48 Mar 06 2025,95,70,2,0,0
22:26:52 Mar 06 2025,95,71,1,0,0
22:26:56 Mar 06 2025,96,73,1,0,0
22:27:00 Mar 06 2025,97,74,1,0,0
22:27:04 Mar 06 2025,97,75,1,0,0
22:27:08 Mar 06 2025,96,76,1,0,0
22:27:12 Mar 06 2025,94,77,1,0,0
22:27:16 Mar 06 2025,93,76,1,0,0
22:27:20 Mar 06 2025,93,74,1,0,0
22:27:24 Mar 06 2025,93,73,0,0,0
22:27:28 Mar 06 2025,92,74,11,0,0
22:27:32 Mar 06 2025,93,74,7,0,0
22:27:36 Mar 06 2025,93,79,1,0,0
22:27:40 Mar 06 2025,94,81,2,0,0
22:27:44 Mar 06 2025,95,78,1,0,0
22:27:48 Mar 06 2025,95,77,1,0,0
22:27:52 Mar 06 2025,95,79,1,0,0
22:27:56 Mar 06 2025,95,76,1,0,0
22:28:00 Mar 06 2025,95,74,1,0,0
22:28:04 Mar 06 2025,95,73,1,0,0
22:28:08 Mar 06 2025,95,73,1,0,0
22:28:12 Mar 06 2025,95,72,1,0,0
22:28:16 Mar 06 2025,95,69,1,0,0
22:28:20 Mar 06 2025,95,68,1,0,0
22:28:24 Mar 06 2025,96,69,1,0,0
22:28:28 Mar 06 2025,96,70,1,0,0
22:28:32 Mar 06 2025,96,73,1,0,0
